state,stateid,q,k,l,lnq,lnk,lnl,year
Michigan,23.0,98692.107,9148.406,794.319,11.499761,9.121335,6.677485,2014
Michigan,23.0,97503.001,9454.292,792.797,11.487638,9.154224,6.675567,2013
Michigan,23.0,92184.842,8832.36,763.788,11.431551,9.086178,6.6382904,2012
Minnesota,24.0,55604.359,3747.79,393.426,10.926017,8.228922,5.974893,2014
Minnesota,24.0,54939.695,3280.547,388.35,10.913991,8.095765,5.961907,2013
Minnesota,24.0,53677.458,3219.894,389.205,10.890748,8.077104,5.964106,2012
Mississippi,25.0,22444.422,1499.025,209.774,10.018798,7.31257,5.3460307,2014
Mississippi,25.0,22078.969,1510.833,208.995,10.00238,7.3204165,5.3423104,2013
Mississippi,25.0,23225.487,2130.359,204.97,10.053005,7.664046,5.3228636,2012
Missouri,26.0,51610.261,3315.39,360.54,10.851476,8.106331,5.887603,2014
Missouri,26.0,48218.037,3302.923,348.115,10.783488,8.102563,5.852533,2013
Missouri,26.0,49224.0,3049.674,346.449,10.804136,8.02279,5.8477354,2012
Montana,27.0,2971.423,245.93,21.362,7.996796,5.505047,3.0616136,2014
Montana,27.0,3270.506,518.665,21.636,8.0927,6.2512584,3.0743587,2013
Montana,27.0,2933.381,200.457,20.767,7.983911,5.3005996,3.0333652,2012
Nebraska,28.0,20402.31,1189.619,145.358,9.923404,7.0813885,4.9792,2014
Nebraska,28.0,20037.529,1018.072,143.289,9.905362,6.925666,4.964864,2013
Nebraska,28.0,20347.588,1032.163,148.678,9.920717,6.939412,5.001783,2012
Nevada,29.0,8776.834,401.838,53.672,9.079871,5.996049,3.9828916,2014
Nevada,29.0,8670.381,488.704,52.899,9.067668,6.191757,3.9683845,2013
Nevada,29.0,7748.803,648.628,51.51,8.955294,6.474859,3.941776,2012
New Hampshire,30.0,10193.963,542.749,80.532,9.229551,6.296647,4.3886547,2014
New Hampshire,30.0,10814.846,686.729,80.697,9.288675,6.53194,4.3907013,2013
New Hampshire,30.0,10264.788,734.521,80.627,9.236475,6.5992184,4.3898335,2012
New Jersey,31.0,50096.347,2301.868,284.183,10.821703,7.741476,5.6496186,2014
New Jersey,31.0,43214.276,2153.665,289.997,10.673926,7.6749263,5.6698704,2013
New Jersey,31.0,45133.517,2403.53,289.786,10.717381,7.7846937,5.6691427,2012
New Mexico,32.0,4208.115,580.754,31.411,8.34477,6.3643274,3.447158,2014
New Mexico,32.0,4344.879,919.505,33.871,8.376753,6.8238354,3.5225592,2013
New Mexico,32.0,18438.207,1128.252,34.681,9.82218,7.0284247,3.546192,2012
New York,33.0,78309.409,8648.431,543.328,11.268423,9.065133,6.2977133,2014
New York,33.0,73048.337,9449.612,554.571,11.198876,9.1537285,6.318195,2013
New York,33.0,75702.273,9650.92,554.574,11.234564,9.1748085,6.3182,2012
North Carolina,34.0,103729.38,5012.272,604.129,11.5495405,8.519645,6.4037876,2014
North Carolina,34.0,102577.718,4887.813,596.504,11.538376,8.4945,6.391086,2013
North Carolina,34.0,101506.025,4877.043,592.404,11.527873,8.492294,6.3841887,2012
North Dakota,35.0,5093.331,359.813,35.491,8.535687,5.8855844,3.5692792,2014
North Dakota,35.0,5444.858,347.094,34.723,8.602427,5.8495955,3.5474024,2013
North Dakota,35.0,4897.4,415.478,34.215,8.49646,6.0294294,3.532664,2012
Ohio,36.0,133100.877,9070.527,946.835,11.798862,9.112785,6.8531246,2014
Ohio,36.0,124237.044,8352.31,930.998,11.729947,9.030293,6.836257,2013
Ohio,36.0,123053.812,9300.134,915.221,11.720377,9.137784,6.8191657,2012
Oklahoma,37.0,24961.777,2140.539,199.544,10.125101,7.6688128,5.296035,2014
Oklahoma,37.0,24243.861,1840.832,197.005,10.095919,7.517973,5.283229,2013
Oklahoma,37.0,25845.609,1456.038,200.375,10.159896,7.2834744,5.3001904,2012
Oregon,38.0,27281.197,2014.902,215.343,10.213953,7.608326,5.372232,2014
Oregon,38.0,26093.112,4215.526,211.795,10.169427,8.34653,5.355619,2013
Oregon,38.0,23668.452,4762.701,206.257,10.071898,8.46857,5.329123,2012
Pennsylvania,39.0,106865.493,9749.753,751.544,11.579327,9.184998,6.62213,2014
Pennsylvania,39.0,103810.912,8593.38,758.265,11.550326,9.058747,6.631033,2013
Pennsylvania,39.0,100297.074,6314.981,764.676,11.515892,8.75068,6.639452,2012
